GradeId,StudentId,CourseId,QuizScore,MidtermScore,FinalScore,ProjectScore,FinalGrade
GR018,SV008,EE102,8.00,7.50,8.00,8.00,7.85
GR019,SV009,ME101,8.50,8.00,8.50,9.00,8.40
GR016,SV007,EE102,7.50,8.00,7.50,8.00,7.70
GR017,SV008,EE101,7.00,6.50,7.00,7.50,6.90
GR014,SV006,IT202,8.50,9.00,9.00,9.00,8.95
GR015,SV007,EE101,8.00,7.50,8.00,8.50,7.90
GR012,SV005,IT102,8.00,8.50,8.00,8.50,8.20
GR013,SV006,IT201,9.00,9.50,9.00,9.50,9.20
GR010,SV004,IT102,9.00,8.50,9.00,9.50,8.90
GR011,SV005,IT101,7.50,7.00,7.50,8.00,7.40
GR030,SV019,CS101,10.00,10.00,10.00,10.00,10.00
GR031,SV020,CS101,9.50,9.50,9.50,10.00,9.55
GR009,SV004,IT101,8.50,8.00,8.50,9.00,8.40
GR007,SV003,CS101,6.50,7.00,7.50,7.00,7.20
GR029,SV018,ME201,7.00,7.50,7.00,7.50,7.20
GR008,SV003,CS102,7.00,6.50,7.00,7.50,6.90
GR005,SV002,CS102,8.00,7.50,8.00,8.50,7.90
GR027,SV016,EE201,9.00,9.00,9.50,9.50,9.30
GR006,SV002,CS103,9.50,9.00,9.50,10.00,9.40
GR028,SV017,ME201,8.00,7.50,8.00,8.50,7.90
GR003,SV001,CS103,9.00,8.50,9.00,9.50,8.90
GR025,SV014,IT101,7.50,7.00,7.50,8.00,7.40
GR004,SV002,CS101,9.00,8.50,9.00,9.50,8.90
GR026,SV015,EE201,8.50,8.00,8.50,9.00,8.40
GR001,SV001,CS101,8.50,7.50,8.00,9.00,8.00
GR023,SV012,CS101,8.00,8.50,8.00,8.50,8.20
GR002,SV001,CS102,7.00,8.00,8.50,8.00,8.15
GR024,SV013,IT101,9.00,8.50,9.00,9.50,8.90
GR021,SV011,CS101,9.50,9.00,10.00,10.00,9.65
GR022,SV011,CS102,9.00,9.50,9.00,9.50,9.20
GR020,SV010,ME101,9.00,9.00,9.50,9.50,9.30
