CourseId,CourseName,Credits,DepartmentId,LecturerId,Description
ME202,Nhiệt động lực học,3,ME,GV008,"Chu trình nhiệt"
IT202,Quản trị hệ thống,3,IT,GV015,"Quản trị server Linux"
IT102,Lập trình web,4,IT,GV011,"HTML"
IT201,An ninh mạng,3,IT,GV005,"Firewall"
ME102,Truyền động thủy lực,3,ME,GV013,"Thiết kế hệ thống thủy lực"
ME201,Thiết kế máy,4,ME,GV009,"CAD/CAM"
ME101,Cơ học kỹ thuật,4,ME,GV008,"Sức bền vật liệu"
IT101,Mạng máy tính,3,IT,GV004,"TCP/IP"
CS103,Toán rời rạc,3,CS,GV010,"Logic"
CS202,Hệ điều hành,3,CS,GV014,"Hệ điều hành Linux/Windows"
CS301,Cơ sở dữ liệu,3,CS,GV003,"SQL"
CS302,Trí tuệ nhân tạo,3,CS,GV003,"Machine Learning cơ bản"
CS401,Đồ án tốt nghiệp,6,CS,GV003,"Đề tài nghiên cứu hoặc phát triển phần mềm"
CS101,Lập trình căn bản,3,CS,GV001,"Học lập trình từ cơ bản với C/Java"
CS102,Cấu trúc dữ liệu và giải thuật,4,CS,GV002,"Array"
CS201,Lập trình hướng đối tượng,4,CS,GV001,"OOP với Java - Inheritance"
EE202,Hệ thống nhúng,3,EE,GV012,"Arduino"
EE101,Mạch điện tử,4,EE,GV006,"Mạch analog và digital"
EE102,Điện tử công suất,3,EE,GV007,"Biến tần"
EE201,Xử lý tín hiệu số,4,EE,GV006,"FFT"
